Variant_category	pval_bin	Proportion	Type
splice_donor_variant	1e-02~5e-02	0.000894854586129754	eOutliers - Over
splice_region_variant	1e-02~5e-02	0.00894854586129754	eOutliers - Over
stop	1e-02~5e-02	0.00268456375838926	eOutliers - Over
TE	1e-02~5e-02	0.00492170022371365	eOutliers - Over
TSS	1e-02~5e-02	0.0478747203579418	eOutliers - Over
BND	1e-03~1e-02	0.00578703703703704	eOutliers - Over
CNV	1e-03~1e-02	0.0451388888888889	eOutliers - Over
coding	1e-03~1e-02	0.0173611111111111	eOutliers - Over
conserved_noncoding	1e-03~1e-02	0.03125	eOutliers - Over
DEL	1e-03~1e-02	0.00694444444444444	eOutliers - Over
DUP	1e-03~1e-02	0.0115740740740741	eOutliers - Over
frameshift	1e-03~1e-02	0.00578703703703704	eOutliers - Over
no_variant	1e-03~1e-02	0.385416666666667	eOutliers - Over
other_noncoding	1e-03~1e-02	0.391203703703704	eOutliers - Over
splice_donor_variant	1e-03~1e-02	0.00462962962962963	eOutliers - Over
splice_region_variant	1e-03~1e-02	0.0231481481481481	eOutliers - Over
stop	1e-03~1e-02	0.00347222222222222	eOutliers - Over
TE	1e-03~1e-02	0.00347222222222222	eOutliers - Over
TSS	1e-03~1e-02	0.0648148148148148	eOutliers - Over
BND	1e-04~1e-03	0.00657894736842105	eOutliers - Over
CNV	1e-04~1e-03	0.0767543859649123	eOutliers - Over
coding	1e-04~1e-03	0.0219298245614035	eOutliers - Over
conserved_noncoding	1e-04~1e-03	0.0548245614035088	eOutliers - Over
DEL	1e-04~1e-03	0.0197368421052632	eOutliers - Over
DUP	1e-04~1e-03	0.0394736842105263	eOutliers - Over
frameshift	1e-04~1e-03	0.00657894736842105	eOutliers - Over
no_variant	1e-04~1e-03	0.285087719298246	eOutliers - Over
other_noncoding	1e-04~1e-03	0.353070175438596	eOutliers - Over
splice_donor_variant	1e-04~1e-03	0.00219298245614035	eOutliers - Over
splice_region_variant	1e-04~1e-03	0.0394736842105263	eOutliers - Over
stop	1e-04~1e-03	0.00219298245614035	eOutliers - Over
TE	1e-04~1e-03	0.0131578947368421	eOutliers - Over
TSS	1e-04~1e-03	0.0789473684210526	eOutliers - Over
CNV	1e-05~1e-04	0.120535714285714	eOutliers - Over
coding	1e-05~1e-04	0.0223214285714286	eOutliers - Over
conserved_noncoding	1e-05~1e-04	0.0401785714285714	eOutliers - Over
DEL	1e-05~1e-04	0.0223214285714286	eOutliers - Over
DUP	1e-05~1e-04	0.0625	eOutliers - Over
frameshift	1e-05~1e-04	0.00892857142857143	eOutliers - Over
no_variant	1e-05~1e-04	0.232142857142857	eOutliers - Over
other_noncoding	1e-05~1e-04	0.34375	eOutliers - Over
splice_donor_variant	1e-05~1e-04	0.00892857142857143	eOutliers - Over
splice_region_variant	1e-05~1e-04	0.0357142857142857	eOutliers - Over
TE	1e-05~1e-04	0.00446428571428571	eOutliers - Over
TSS	1e-05~1e-04	0.0982142857142857	eOutliers - Over
BND	1e-07~1e-05	0.0050251256281407	eOutliers - Over
CNV	1e-07~1e-05	0.155778894472362	eOutliers - Over
coding	1e-07~1e-05	0.0150753768844221	eOutliers - Over
conserved_noncoding	1e-07~1e-05	0.0552763819095477	eOutliers - Over
DEL	1e-07~1e-05	0.0150753768844221	eOutliers - Over
DUP	1e-07~1e-05	0.110552763819095	eOutliers - Over
frameshift	1e-07~1e-05	0.0100502512562814	eOutliers - Over
no_variant	1e-07~1e-05	0.120603015075377	eOutliers - Over
other_noncoding	1e-07~1e-05	0.321608040201005	eOutliers - Over
splice_acceptor_variant	1e-07~1e-05	0.0150753768844221	eOutliers - Over
splice_donor_variant	1e-07~1e-05	0.0452261306532663	eOutliers - Over
splice_region_variant	1e-07~1e-05	0.0452261306532663	eOutliers - Over
stop	1e-07~1e-05	0.0050251256281407	eOutliers - Over
TE	1e-07~1e-05	0.0050251256281407	eOutliers - Over
TSS	1e-07~1e-05	0.0753768844221105	eOutliers - Over
BND	nonOutlier	0.00175491501855435	eOutliers - Over
CNV	nonOutlier	0.00401033682641001	eOutliers - Over
coding	nonOutlier	0.0142623493244205	eOutliers - Over
conserved_noncoding	nonOutlier	0.0271551110329287	eOutliers - Over
DEL	nonOutlier	0.00649925866358405	eOutliers - Over
DUP	nonOutlier	0.00127325576525185	eOutliers - Over
frameshift	nonOutlier	0.000436634583972055	eOutliers - Over
INV	nonOutlier	7.95784853282403e-05	eOutliers - Over
no_variant	nonOutlier	0.409821869843105	eOutliers - Over
other_noncoding	nonOutlier	0.499736134496017	eOutliers - Over
splice_acceptor_variant	nonOutlier	0.000205228725320199	eOutliers - Over
splice_donor_variant	nonOutlier	0.000215699578652862	eOutliers - Over
splice_region_variant	nonOutlier	0.00368574037309745	eOutliers - Over
stop	nonOutlier	0.00048375342396904	eOutliers - Over
